method,algo,inertia,silhouette,db_score,n_noise
tfidf,kmeans4,4774.122090076901,0.014049825576952764,10.52803915902398,
tfidf,kmeans5,4749.801868702511,0.015526467102480426,9.406609412111143,
tfidf,kmeans6,4736.13903657832,0.01646713609240749,9.21189025280822,
tfidf,kmeans7,4714.627767655999,0.018787909467984646,8.674119285405324,
tfidf,kmeans8,4695.960707664308,0.020635955945634946,8.191930974031077,
tfidf,kmeans9,4679.411372336765,0.022079514127633537,8.64811982613314,
tfidf,kmeans10,4661.3120724050605,0.025654713168198878,7.607382393594351,
tfidf,dbscan0.3,,-0.002554417453679799,1.6803251688537975,4962.0
tfidf,dbscan0.4,,-0.06592766618838884,1.986551814305726,4671.0
tfidf,dbscan0.5,,-0.045719658717141426,2.373080906440483,3862.0
tfidf,dbscan0.6,,-0.040005561615295976,3.20133592033704,2254.0
tfidf,hdbscan,,0.004446090867024435,14.757277647947923,378.0
w2v,kmeans4,33.094581604003906,0.06424793601036072,3.6690749697534857,
w2v,kmeans5,32.42752456665039,0.0623217411339283,3.609648922757855,
w2v,kmeans6,31.800527572631836,0.07402324676513672,3.373375582807346,
w2v,kmeans7,31.421138763427734,0.05400377884507179,3.582824671924154,
w2v,kmeans8,30.91305923461914,0.06655355542898178,3.2705696164744236,
w2v,kmeans9,30.598636627197266,0.0715896263718605,3.31424612125449,
w2v,kmeans10,30.21890640258789,0.06346543878316879,3.325959271223561,
w2v,dbscan0.3,,,,0.0
w2v,dbscan0.4,,,,0.0
w2v,dbscan0.5,,,,0.0
w2v,dbscan0.6,,,,0.0
w2v,hdbscan,,-0.04530855640769005,5.624576648315151,3226.0
sbert,kmeans4,3323.385009765625,0.11189647763967514,3.7373723234355523,
sbert,kmeans5,3262.515869140625,0.06437640637159348,3.894979694774103,
sbert,kmeans6,3189.38134765625,0.07450651377439499,3.672614340395746,
sbert,kmeans7,3148.236083984375,0.06917483359575272,3.5582465359974096,
sbert,kmeans8,3116.31591796875,0.06947387009859085,3.8284502824620956,
sbert,kmeans9,3057.836181640625,0.07449312508106232,3.5104493704618207,
sbert,kmeans10,3027.37890625,0.07932422310113907,3.409451351478969,
sbert,dbscan0.3,,-0.15743990242481232,2.1077235202149036,1159.0
sbert,dbscan0.4,,0.0546368844807148,3.0465317445963738,342.0
sbert,dbscan0.5,,,,52.0
sbert,dbscan0.6,,,,6.0
sbert,hdbscan,,-0.2321435660123825,1.938050518746388,3848.0
