method,algo,inertia,silhouette,db_score,n_noise
tfidf,kmeans4,4760.254030323653,0.014027969658517695,10.468742791277007,
tfidf,kmeans5,4734.190755048156,0.015370254181493865,9.037666955455439,
tfidf,kmeans6,4713.078833210111,0.01804799365960533,8.44496718146747,
tfidf,kmeans7,4703.999620239998,0.017984241105122145,8.500331666105321,
tfidf,kmeans8,4677.309725315682,0.02169502880163675,7.831295155557454,
tfidf,kmeans9,4654.534634050927,0.025098741345443404,7.206826717453426,
tfidf,kmeans10,4633.177374103305,0.027229646191109874,6.960207834229918,
tfidf,dbscan0.3,,-0.008206608985899243,1.7312253883647473,4967.0
tfidf,dbscan0.4,,-0.06895676034383115,1.9939402913476223,4685.0
tfidf,dbscan0.5,,-0.04894359398307747,2.4071453822709894,3874.0
tfidf,dbscan0.6,,-0.03980481195429979,3.21835829553376,2300.0
w2v,kmeans4,30.82984161376953,0.06576050817966461,3.7975171070605156,
w2v,kmeans5,30.181968688964844,0.036090631037950516,3.6863381910511643,
w2v,kmeans6,29.610376358032227,0.04345572367310524,3.3990029335989878,
w2v,kmeans7,29.14303207397461,0.05017705261707306,3.3782006746803668,
w2v,kmeans8,28.860126495361328,0.05594777688384056,3.257093742527596,
w2v,kmeans9,28.47138214111328,0.05836639925837517,3.1247530541361748,
w2v,kmeans10,28.06555938720703,0.06149109825491905,3.1499688975419673,
w2v,dbscan0.3,,,,0.0
w2v,dbscan0.4,,,,0.0
w2v,dbscan0.5,,,,0.0
w2v,dbscan0.6,,,,0.0
sbert,kmeans4,3354.803955078125,0.11473072320222855,3.66197983021604,
sbert,kmeans5,3302.058837890625,0.05572919175028801,3.7335510585548533,
sbert,kmeans6,3228.0185546875,0.07118228822946548,3.6666953463572014,
sbert,kmeans7,3184.255859375,0.06873264163732529,3.580844062512316,
sbert,kmeans8,3143.183349609375,0.07292653620243073,3.544875072382488,
sbert,kmeans9,3102.846923828125,0.07585826516151428,3.385208382504098,
sbert,kmeans10,3068.177978515625,0.08366645127534866,3.532429599288598,
sbert,dbscan0.3,,-0.15177591145038605,2.1170828831481736,1197.0
sbert,dbscan0.4,,0.07778490334749222,3.2933971397794224,356.0
sbert,dbscan0.5,,,,55.0
sbert,dbscan0.6,,,,5.0
