titulo,autores,resumen,editorial,fecha,link
"Discapacidad funcional en pacientes con fibromialgia en un hospital en Lima, Perú","Reátegui Arrue, Willman Arian; Ríos Lopez, Samuel Francisco; Cachay Cruzado, Jorge Andres; Huamanchumo Guzman, Roberto Miguel; Loza Munarriz, Cesar Antonio; Olivera García, Anapaula; Nestares Luna, Kim Leslie; Arévalo Flores, Jorge Martín","Resumen:Background: Fibromyalgia is a rheumatological disorder characterized by generalized pain of imprecise localization that mainly affects women. It is associated with fatigue, anxiety, depression, and functional capacity is greatly affected by the coexistence of these disorders. Methods: It is a series of cross-sectional cases, using secondary data from 126 patients with fibromyalgia who attended the outpatient clinic of a hospital at Lima at the rheumatology service during February 2020.We try to determine the frequency of functional disability and explore associated factors in patients diagnosed with fibromyalgia with or without depression. Functional capacity and the presence of depressive symptoms were measure by validated scales. A multivariate multiple logistic regression analysis was performed to assess whether depression is an independent risk factor for disability. Results: The age had a median of 53.5 (IQR: 46-60) years, 122 participants were women. In addition, 42 (33.33%) patients had depression and 76 (60.32%) patients had functional disability. In the multivariate analysis, it was found that depression is an independent risk factor for functional disability after adjusting for diabetes, presence of 3 or more comorbidities, intensity of fatigue and associated symptoms [OR 3.09 (1.24 - 7.70); p: 0.015]. Conclusions: Depression is an independent factor for functional incapacity in patients with fibromyalgia.Introducción: La fibromialgia es un trastorno reumatológico caracterizado por dolor generalizado de localización imprecisa que afecta principalmente a mujeres. Se asocia a fatiga, ansiedad, depresión y la capacidad funcional de estos pacientes se ve afectada por la coexistencia de dichos trastornos. Métodos: Serie de casos de corte transversal con uso de datos secundarios de 126 pacientes con fibromialgia que acudieron a consultorio externo del servicio de reumatología de un hospital en Lima durante febrero de 2020. Se buscó determinar la frecuencia de discapacidad funcional y explorar factores asociados en pacientes con diagnóstico de fibromialgia con o sin depresión. La capacidad funcional y la presencia de síntomas depresivos fueron medidas mediante uso de escalas validadas. Se realizó un análisis multivariado de regresión logística múltiple para valorar si la depresión es un factor de riego independiente de discapacidad. Resultados: La edad tuvo una mediana de 53,5 (RIQ: 46-60) años y 122 participantes eran mujeres, además 42 (33,33%) pacientes presentaban depresión y 76 (60,32%) presentaban discapacidad funcional. En el análisis multivariado, se encontró que la depresión es un factor de riesgo independiente de discapacidad funcional luego de ajustar a diabetes, presencia de 3 o más comorbilidades, intensidad de fatiga y síntomas asociados [OR de 3.09 (1.24 – 7.70); p: 0.015]. Conclusiones: La depresión es un factor independiente para discapacidad funcional en pacientes con fibromialgia.",Sociedad de Neurologia Psiquiatria y Neurocirugia,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14733
Toothbrushing and Access to Dental Services in Peruvian Children,"Hadad Arrascue, Natalie Luz Gabriela; Garcés Elías, María Claudia; Chirinos Caceres, Jesus Lorenzo","Resumen:Objective. The aim was to determine the association between access to dental services and toothbrushing in Peruvian children under 12 years old. Methods. This was a cross-sectional study with a population of 2021 database of the Demographic and Family Health Survey. Records of children under 12 years old who provided answers about their toothbrushing were included. Variables were evaluated descriptively and followed by a bivariate analysis; multivariate tests were performed using Poisson regression with a multilevel regression analysis. Results. General toothbrushing was 96.32% (n = 34 198), and daily toothbrushing was 88.05% (n = 28 444). Access to dental services was associated with general toothbrushing (aPR: 1.18; 95% CI: 1.14-1.22; P <.001), daily toothbrushing (aPR: 1.08; 95% CI: 1.04-1.12; P <.001) and minimum toothbrushing 2 times a day (aPR: 1.12; 95% CI: 1.07-1.17; P <.001). Conclusion. Access to dental services was associated with general toothbrushing, daily toothbrushing and toothbrushing at least twice a day.",SAGE Publications,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14732
The Lancet Diabetes & Endocrinology Commission on type 1 diabetes: looking back to move forward.,"Beran, David; Koch, Marta; Ajmal, Sana; de Beaufort, Carine; Ramaiya, Kaushik; Zafra-Tanaka, Jessica Hanae; Atkinson, Mark","Resumen:Kofi Annan, former UN Secretary General and Nobel Prize winner, was noted for his many words of wisdom, including: “One has to learn from history. Quite frankly, it is almost impossible to have a sense of vision without a sense of history. If history is learned, then it doesn’t have to repeat itself over generations.”...",Elsevier,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14731
Experiencias de usarios y familiares sobre la atención recibida en centros de salud metal comunitaria de Lima y Callao durante la pandemia de la COVID-19,"Cusihuaman Lope, Noelia Margarita; Vilela Estrada, Ana Lucía; Cavero Huapaya, Victoria María; Villarreal-Zegarra, David; Diez-Canseco Montero, Francisco","Resumen:OBJECTIVE.: To understand the experiences of new and continuing users of Community Mental Health Centers (CMHC) of Lima and Callao, and their relatives, regarding the mental health care they received during the COVID-19 pandemic. MATERIALS AND METHODS.: Qualitative study conducted between September 2021 and February 2022, in which we interviewed 24 users and family members who interacted with the services provided by three CMHCs in Lima and one in Callao during the COVID-19 pandemic. We carried out a thematic analysis of the transcribed interviews. RESULTS.: Participants perceived that the pandemic exacerbated the symptoms of people with mental health problems. During the pandemic, mental health care relied on the use of technology, mainly telephone calls, which were used to monitor the emotional state and pharmacological treatment of users, as well as to schedule and remember appointments. The users emphasized that frequent telephone calls made them feel accompanied and highlighted the commitment of the CMHC workers. Among the difficulties, they reported an increase in the demand for care, problems in accessing video calls, and low quality in virtual care. CONCLUSIONS.: COVID-19 had an emotional impact on people with mental health problems; in turn, CMHC services were affected by the type of care (face-to-face or virtual), resources, frequency, time and quality of care, finding limitations and benefits in the use of technology.OBJETIVOS.: Comprender las experiencias de usuarios nuevos y continuadores de los Centros de Salud Mental Comunitaria (CSMC) de Lima y Callao, y de sus familiares, en relación a la atención en salud mental que recibieron durante la pandemia de la COVID-19. MATERIALES Y MÉTODOS.: Estudio cualitativo realizado entre septiembre del 2021 y febrero del 2022, en el que se entrevistó a 24 usuarios y familiares que interactuaron con los servicios brindados por tres CSMC de Lima y uno del Callao, durante la pandemia de la COVID-19. Se realizó un análisis temático de las entrevistas transcritas. RESULTADOS.: Los informantes percibieron que la pandemia exacerbó los síntomas de las personas con problemas de salud mental. Durante la pandemia, las atenciones de salud mental se apoyaron en el uso de tecnología, principalmente de llamadas telefónicas, las que sirvieron para monitorear el estado emocional y el tratamiento farmacológico de los usuarios, así como para programar y recordar citas. Los usuarios destacan que las llamadas telefónicas frecuentes les hicieron sentirse acompañados y resaltan el compromiso de los trabajadores de los CSMC. Como dificultades, reportan el incremento en la demanda de atención, problemas para acceder a videollamadas, y menor calidad en las atenciones virtuales. CONCLUSIONES.: La COVID-19 impactó emocionalmente a las personas con problemas de salud mental, a su vez, los servicios de los CSMC vieron afectada la modalidad (presencial o virtual), recursos, frecuencia, tiempo y calidad de la atención, encontrando limitaciones y beneficios en el uso de la tecnología.","Instituto Nacional de Salud, Perú",2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14735
Desarrollo y validación de un método de suspensión basado en células vero par a la detección del virus Zika,"Popuche, Dina; Huaman, Alfredo; Loyola Sosa, Steev Orlando; Silva, María; Jenkins, Sarah A.; Guevara, Carolina","Resumen:OBJECTIVE.: To develop and validate a cell suspension method using Vero 76 cells for culturing Zika virus (ZIKV) based on infection of detached freshly seeded cells. MATERIAL AND METHODS.: Three different multiplicities of infection of ZIKV were used to develop and compare this novel method to the standard confluent cell monolayer method. In addition, we preliminary validated the cell suspension method using well-characterized ZIKV positive and negative clinical samples. The standard confluent cell monolayer method was used as the reference method, and viral isolation was confirmed by a ZIKV-specific RT-PCR. The sensitivity and its 95% confidence intervals for the cell suspension method were estimated. Also, a technical comparison of the cell suspension method against the cell monolayer method was performed. RESULTS.: Our findings suggested that both the viral load and replication of ZIKV were comparable between both monolayer- and suspension-infection methods. Although both methods were suitable for culturing and isolating ZIKV, the cell suspension method was easier, cheaper, and quicker as well as a sensitive isolation technique. The cell suspension method was significantly more sensitive in detecting Zika in inconclusive cases by RT-PCR, with a fourfold increase compared to the confluent cell monolayer method. CONCLUSION.: The cell suspension method has the potential to be an effective method for cultivating and isolating ZIKV and its application is potentially useful in both research and clinical settings.OBJETIVO: Desarrollar y validar un método de suspensión celular utilizando células Vero 76 para el cultivo del virus Zika (ZIKV) basado en la infección de células recién sembradas no adheridas. MATERIAL Y MÉTODOS: . Se utilizaron tres multiplicidades de infección diferentes del ZIKV para desarrollar y comparar este novedoso método con el método estándar de monocapa de células confluentes. Además, validamos preliminarmente el método de suspensión utilizando muestras clínicas caracterizadas como positivas o negativas para el ZIKV. El método estándar de monocapa se utilizó como método de referencia, y el aislamiento viral se confirmó mediante un RT-PCR específico del ZIKV. Se estimó la sensibilidad e intervalos de confianza del 95% para el método de suspensión. Asimismo, se realizó una comparación técnica del método de suspensión contra el método de monocapa. RESULTADOS: . Nuestros hallazgos sugieren que tanto la carga viral como la replicación del ZIKV fueron comparables entre los métodos de infección en monocapa y en suspensión. Aunque ambos métodos fueron adecuados para cultivar y aislar el ZIKV, el método de suspensión se caracterizó por ser más fácil, barato y rápido, así como una técnica de aislamiento sensible. En comparación con el método de monocapa, el método de suspensión fue cuatro veces más sensible en la detección del ZIKV en casos inconclusos por RT-PCR. CONCLUSIONES: . El método de suspensión tiene el potencial de ser un método eficaz para cultivar y aislar el ZIKV y su uso es potencialmente útil tanto en la investigación como en entornos clínicos.","Instituto Nacional de Salud, Perú",2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14734
El tamaño del empaque de la galletas ultraprocesadas evita que lleven octógonos a pesar de tener alto contenido de azúcar y grasas saturadas,"Meza Hernandez, Mayra Milagros; Yabiku Soto, Kiomi Denisse; Saavedra Garcia, Lorena Maria; Diez-Canseco Montero, Francisco","Resumen:The regulation of the “Law for the Promotion of Healthy Eating for Children and Adolescents” (Law No. 30021) indicates that processed and ultra-processed foods and beverages that exceed the parameters for sugar content, saturated fat, sodium, and contain trans fats, must carry a frontal advertising warning (octagon). The purpose of the octagons is to inform the population about the high content of these nutrients, so that they can make healthier  choices when purchasing food...La reglamentación de la «Ley de promoción de la alimentación saludable para niños, niñas y adolescentes» (Ley N.º 30021) indica que las bebidas y alimentos procesados y ultraprocesados que sobrepasan los parámetros para el contenido de azúcar, grasas saturadas, sodio, y contienen grasas trans, deben llevar una advertencia publicitaria frontal (octógono). Los octógonos tienen la finalidad de informar a la población sobre el alto contenido de dichos nutrientes, para que puedan tomar decisiones más saludables al momento de adquirir sus alimentos...","Instituto Nacional de Salud, Perú",2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14736
The complete mitochondrial genome of the lowland paca (Cuniculus paca) and its phylogenetic relationship with other New World hystricognath rodents,"Li, J.; Mayor, P.; Santolalla Robles, Meddly Leslye; Greenwood, A.D.","Resumen:The lowland paca (Cuniculus paca) is a nocturnal, widespread, and solitary large-sized rodent in the family Cuniculidae, and one of the most frequently hunted mammals in the Neotropical forests of Latin America. We assembled the first complete mitochondrial genome of lowland paca using three closely related hystricognath species as reference sequences. The mitochondrial genome is 16,770 basepairs (bp) in length, with similar characteristics of vertebrate mitochondrial genomes. We performed phylogenetic analyses using 26 mitochondrial genome of hystricognath species based on thirteen protein-coding genes. The result confirms the taxonomical placement among the New World hystricognath rodents with high support. The placement is consistent with previous phylogenetic studies based on individual mitochondrial and nuclear genes. The current study improves the phylogenic resolution of hystricognath rodents.",Taylor and Francis,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14730
Political and socioeconomic factors that shaped health taxes implementation in Peru,"Zuleta, Mario; Pérez León Quinoso, Silvana Patricia; Mialon, Melissa; Delgado-Zegarra, Jaime","Resumen:Background In 2016 and 2018, the Peruvian Ministry of Economy and Finance (MoEF) significantly reformulated taxes on tobacco products, alcohol and sugar-sweetened beverages (SSBs). During these processes, different actors advanced arguments supporting or opposing the taxes. This study examines Peru's political and socioeconomic factors, the role of other actors and framing strategies, shaping health taxes introduction. Methods We conducted qualitative analysis by collecting information from three sources, such as: (1) media material (n=343 documents), (2) government documents (n=34) and (3) semistructured interviews (n=11). That data allowed us to identify and characterise the actors involved in implementing health taxes in Peru. We combined the data from these sources, synthesised our findings and conducted a stakeholder analysis. Results Key actors supporting taxes were the MoEF and civil society organisations, while trade associations and the alcohol, SSBs and tobacco industries opposed them using economic, trade-related arguments and criticised the policy process. The supporting group used arguments related to the economy and health to legitimate its narrative. The framing strategies employed by these stakeholders shaped and determined the outcome of the policy process. Conclusion Peruvian stakeholders against health taxes demonstrated a strong capacity to convey their messages to the media and high-level policy-makers. Despite these efforts, attempts to interfere with health taxes were unsuccessful in 2016 and 2018 and failed to overcome state institutions, particularly the MoEF. Strong institutions and individual decision-makers in Peru also contributed to the successful implementation of health taxes in Peru in 2016 and 2018.",BMJ Publishing Group,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14718
Specimen sharing for epidemic preparedness: Building a virtual biorepository system from local governance to global partnerships.,"Giri, Judith; Pezzi, Laura; Cachay Figueroa, Rodrigo Antonio; Gèlvez Ramirez, Rosa Margarita; Tami, Adriana; Bethencourt, Sarah; Lozano, Anyela; Gotuzzo Herencia, José Eduardo; Poje, Julia; Jaenisch, Thomas; Chu, May","Resumen:We present a framework for a federated, virtual biorepository system (VBS) with locally collected and managed specimens, as a 'global public good' model based on  principles of equitable access and benefit sharing. The VBS is intended to  facilitate timely access to biological specimens and associated data for  outbreak-prone infectious diseases to accelerate the development and evaluation  of diagnostics, assess vaccine efficacy, and to support surveillance and research  needs. The VBS is aimed to be aligned with the WHO BioHub and other specimen  sharing efforts as a force multiplier to meet the needs of strengthening global  tools for countering epidemics. The purpose of our initial research is to lay the  basis of the collaboration, management and principles of equitable sharing  focused on low- and middle-income country partners. Here we report on surveys and  interviews undertaken with biorepository-interested parties to better understand  needs and barriers for specimen access and share examples from the ZIKAlliance  partnership on the governance and operations of locally organized  biorepositories.",PLoS,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14723
Strengthening evidence to inform health systems: opportunities for the WHO and partners to accelerate progress on non-communicable diseases.,"Hyder, Adnan A.; Rylance, Sarah; Al Saegh, Abeer; Feigin, Valery L.; Kataria, Ishu; Laatikainen, Tiina; Lee, Liming; Mahendradhata, Yodi; Marten, Robert; Mikkelsen, Bente; Miranda, J. Jaime; Nugent, Rachel; Owolabi, Mayowa; Sullivan, Richard; Virani, Salim S.; Reddy, K. Srinath","Resumen:Non-communicable diseases (NCDs) have a remarkably high burden globally, accounting for 74% of all deaths. Every year 17 million people die from an NCD before the age of 70, and 86% of these premature deaths occur in low-income and middle-income countries (LMICs). The World Health Assembly endorsed the Global Action Plan for the Prevention and Control of NCDs 2013–2020 (NCD-GAP), now extended to 2030, to provide member states, international partners and the WHO with the tools, knowledge and policy options to reduce the impact of NCDs. The NCD-GAP includes a specific objective relating to research for NCD prevention and control, however the midpoint evaluation for the NCD-GAP, published in 2020, found that ‘overwhelmingly, research has been the weakest NCD-GAP objective in terms of implementation. Progress towards the NCD-GAP and United Nations Sustainable Development Goal (SDG) targets has been slow and hugely disrupted by the COVID-19 pandemic, with only a handful of countries on-track to reach SDG target 3.4—a one-third reduction in premature mortality from NCDs through prevention and treatment by 2030...",BMJ Publishing Group,2023,https://repositorio.upch.edu.pe/handle/20.500.12866/14725
